"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
352,11/22/18 12:07:31 PM,72.372,,,,,,
353,11/22/18 01:07:31 PM,76.876,,,,,,
354,11/22/18 02:07:31 PM,64.825,,,,,,
355,11/22/18 03:07:31 PM,60.024,,,,,,
356,11/22/18 04:07:31 PM,55.537,,,,,,
357,11/22/18 05:07:31 PM,52.576,,,,,,
358,11/22/18 06:07:31 PM,52.225,,,,,,
359,11/22/18 07:07:31 PM,52.225,,,,,,
360,11/22/18 08:00:54 PM,,1.63,,,,,
361,11/22/18 08:07:31 PM,52.576,,,,,,
362,11/22/18 08:32:58 PM,,1.64,,,,,
363,11/22/18 08:47:09 PM,,1.65,,,,,
364,11/22/18 08:56:30 PM,,1.66,,,,,
365,11/22/18 09:01:52 PM,,1.67,,,,,
366,11/22/18 09:03:59 PM,,1.68,,,,,
367,11/22/18 09:07:03 PM,,1.69,,,,,
368,11/22/18 09:07:31 PM,52.925,,,,,,
369,11/22/18 09:08:44 PM,,1.70,,,,,
370,11/22/18 09:10:34 PM,,1.71,,,,,
371,11/22/18 09:12:28 PM,,1.72,,,,,
372,11/22/18 09:14:49 PM,,1.73,,,,,
373,11/22/18 09:16:24 PM,,1.74,,,,,
374,11/22/18 09:18:43 PM,,1.75,,,,,
375,11/22/18 09:20:41 PM,,1.76,,,,,
376,11/22/18 09:23:21 PM,,1.77,,,,,
377,11/22/18 09:26:09 PM,,1.78,,,,,
378,11/22/18 09:28:18 PM,,1.79,,,,,
379,11/22/18 09:32:15 PM,,1.80,,,,,
380,11/22/18 09:37:25 PM,,1.81,,,,,
381,11/22/18 09:39:38 PM,,1.82,,,,,
382,11/22/18 09:41:58 PM,,1.83,,,,,
383,11/22/18 09:43:35 PM,,1.84,,,,,
384,11/22/18 09:45:24 PM,,1.85,,,,,
385,11/22/18 09:47:26 PM,,1.86,,,,,
386,11/22/18 09:50:31 PM,,1.87,,,,,
387,11/22/18 09:52:59 PM,,1.88,,,,,
388,11/22/18 09:56:03 PM,,1.89,,,,,
389,11/22/18 09:58:01 PM,,1.90,,,,,
390,11/22/18 09:59:52 PM,,1.91,,,,,
391,11/22/18 10:01:26 PM,,1.92,,,,,
392,11/22/18 10:04:40 PM,,1.93,,,,,
393,11/22/18 10:06:19 PM,,1.94,,,,,
394,11/22/18 10:07:31 PM,53.100,,,,,,
395,11/22/18 10:07:55 PM,,1.95,,,,,
396,11/22/18 10:09:43 PM,,1.96,,,,,
397,11/22/18 10:11:37 PM,,1.97,,,,,
398,11/22/18 10:13:01 PM,,1.98,,,,,
399,11/22/18 10:14:30 PM,,1.99,,,,,
400,11/22/18 10:15:43 PM,,2.00,,,,,
401,11/22/18 10:17:25 PM,,2.01,,,,,
402,11/22/18 10:19:22 PM,,2.02,,,,,
403,11/22/18 10:21:45 PM,,2.03,,,,,
404,11/22/18 10:23:45 PM,,2.04,,,,,
405,11/22/18 10:25:28 PM,,2.05,,,,,
406,11/22/18 10:26:15 PM,,2.06,,,,,
407,11/22/18 10:27:27 PM,,2.07,,,,,
408,11/22/18 10:28:25 PM,,2.08,,,,,
409,11/22/18 10:29:29 PM,,2.09,,,,,
410,11/22/18 10:30:27 PM,,2.10,,,,,
411,11/22/18 10:31:52 PM,,2.11,,,,,
412,11/22/18 10:32:56 PM,,2.12,,,,,
413,11/22/18 10:34:23 PM,,2.13,,,,,
414,11/22/18 10:35:35 PM,,2.14,,,,,
415,11/22/18 10:36:58 PM,,2.15,,,,,
416,11/22/18 10:37:57 PM,,2.16,,,,,
417,11/22/18 10:39:17 PM,,2.17,,,,,
418,11/22/18 10:40:17 PM,,2.18,,,,,
419,11/22/18 10:41:39 PM,,2.19,,,,,
420,11/22/18 10:42:19 PM,,2.20,,,,,
421,11/22/18 10:43:06 PM,,2.21,,,,,
422,11/22/18 10:43:44 PM,,2.22,,,,,
423,11/22/18 10:44:47 PM,,2.23,,,,,
424,11/22/18 10:45:28 PM,,2.24,,,,,
425,11/22/18 10:46:33 PM,,2.25,,,,,
426,11/22/18 10:47:31 PM,,2.26,,,,,
427,11/22/18 10:49:07 PM,,2.27,,,,,
428,11/22/18 10:50:27 PM,,2.28,,,,,
429,11/22/18 10:52:06 PM,,2.29,,,,,
430,11/22/18 10:53:11 PM,,2.30,,,,,
431,11/22/18 10:54:09 PM,,2.31,,,,,
432,11/22/18 10:54:53 PM,,2.32,,,,,
433,11/22/18 10:56:31 PM,,2.33,,,,,
434,11/22/18 10:57:52 PM,,2.34,,,,,
435,11/22/18 10:59:33 PM,,2.35,,,,,
436,11/22/18 11:00:46 PM,,2.36,,,,,
437,11/22/18 11:02:32 PM,,2.37,,,,,
438,11/22/18 11:03:21 PM,,2.38,,,,,
